Title,Year,IMDB,Dynamic IMDB,IMDB Difference,Metacritic,Dynamic Metacritic,Metacritic Difference,Original Rating,Dynamic Rating,Rating Difference
King Kong,1933,79,16.26,-62.74,90,43.9,-46.1,84.5,30.08,-54.42
The Jungle Book,1967,76,9.28,-66.72,65,50.18,-14.82,70.5,29.73,-40.77
Stardust,2007,76,9.69,-66.31,66,49.66,-16.34,71.0,29.67,-41.33
Guardians of the Galaxy Vol. 2,2017,76,8.98,-67.02,67,50.35,-16.65,71.5,29.66,-41.84
La Vie En Rose,2007,76,9.69,-66.31,66,49.55,-16.45,71.0,29.62,-41.38
American Psycho,2000,76,10.35,-65.65,64,48.54,-15.46,70.0,29.45,-40.55
The Machinist,2004,77,15.41,-61.59,61,43.37,-17.63,69.0,29.39,-39.61
My Name Is Khan,2010,80,30.62,-49.38,50,28.12,-21.88,65.0,29.37,-35.63
Home Alone,1990,76,9.98,-66.02,63,48.74,-14.26,69.5,29.36,-40.14
Kick-Ass,2010,76,9.46,-66.54,66,49.08,-16.92,71.0,29.27,-41.73
The Hobbit: An Unexpected Journey,2012,78,19.97,-58.03,58,38.51,-19.49,68.0,29.24,-38.76
Das Experiment,2001,77,15.69,-61.31,60,42.74,-17.26,68.5,29.21,-39.29
Harry Potter and the Sorcerer's Stone,2001,76,10.33,-65.67,64,47.99,-16.01,70.0,29.16,-40.84
The Sandlot,1993,78,20.18,-57.82,55,37.36,-17.64,66.5,28.77,-37.73
Bound by Honor,1993,80,30.79,-49.21,47,26.62,-20.38,63.5,28.7,-34.8
Hævnen,2010,76,9.42,-66.58,65,47.82,-17.18,70.5,28.62,-41.88
Dead Man,1995,76,10.14,-65.86,62,46.73,-15.27,69.0,28.43,-40.57
Bohemian Rhapsody,2018,80,30.05,-49.95,49,26.78,-22.22,64.5,28.41,-36.09
Duck Soup,1933,78,11.83,-66.17,93,44.85,-48.15,85.5,28.34,-57.16
Kingsman: The Secret Service,2014,77,14.53,-62.47,60,41.08,-18.92,68.5,27.8,-40.7
The Boy in the Striped Pyjamas,2008,78,20.12,-57.88,55,34.93,-20.07,66.5,27.52,-38.98
About Time,2013,78,19.96,-58.04,55,34.57,-20.43,66.5,27.27,-39.23
Lord of War,2005,76,9.98,-66.02,62,44.51,-17.49,69.0,27.24,-41.76
The Godfather: Part III,1990,76,9.86,-66.14,60,44.54,-15.46,68.0,27.2,-40.8
Lifeboat,1944,76,3.13,-72.87,78,51.25,-26.75,77.0,27.19,-49.81
Frankenstein,1931,78,14.04,-63.96,91,39.5,-51.5,84.5,26.77,-57.73
Midnight Express,1978,76,9.76,-66.24,59,43.71,-15.29,67.5,26.73,-40.77
The Notebook,2004,78,20.69,-57.31,53,32.76,-20.24,65.5,26.73,-38.77
Der Name der Rose,1986,77,15.34,-61.66,54,36.69,-17.31,65.5,26.02,-39.48
The 39 Steps,1935,76,0.0,-76.0,93,51.69,-41.31,84.5,25.84,-58.66
Die Hard: With a Vengeance,1995,76,10.1,-65.9,58,41.26,-16.74,67.0,25.68,-41.32
The Last Samurai,2003,77,15.5,-61.5,55,35.74,-19.26,66.0,25.62,-40.38
Scarface: The Shame of the Nation,1932,78,12.68,-65.32,87,38.45,-48.55,82.5,25.57,-56.93
Tombstone,1993,78,20.16,-57.84,50,30.52,-19.48,64.0,25.34,-38.66
Adams æbler,2005,78,20.63,-57.37,51,30.06,-20.94,64.5,25.34,-39.16
All Quiet on the Western Front,1930,80,17.7,-62.3,91,32.65,-58.35,85.5,25.17,-60.33
Freaks,1932,79,18.11,-60.89,80,32.1,-47.9,79.5,25.11,-54.39
Gifted,2017,76,9.02,-66.98,60,41.2,-18.8,68.0,25.11,-42.89
Taken,2008,78,20.14,-57.86,51,29.72,-21.28,64.5,24.93,-39.57
The Gentlemen,2019,78,19.56,-58.44,51,29.39,-21.61,64.5,24.48,-40.02
The Circus,1928,81,19.92,-61.08,90,28.5,-61.5,85.5,24.21,-61.29
The Fifth Element,1997,77,15.55,-61.45,52,32.81,-19.19,64.5,24.18,-40.32
Falling Down,1993,76,9.55,-66.45,56,38.73,-17.27,66.0,24.14,-41.86
The Invisible Man,1933,77,5.74,-71.26,87,42.4,-44.6,82.0,24.07,-57.93
Remember the Titans,2000,78,20.97,-57.03,48,26.96,-21.04,63.0,23.96,-39.04
Lucky Number Slevin,2006,77,15.07,-61.93,53,32.48,-20.52,65.0,23.77,-41.23
Boksuneun naui geot,2002,76,10.15,-65.85,56,37.3,-18.7,66.0,23.72,-42.28
Sherlock Holmes,2009,76,9.61,-66.39,57,37.49,-19.51,66.5,23.55,-42.95
Metropolis,1927,83,20.53,-62.47,98,26.19,-71.81,90.5,23.36,-67.14
La migliore offerta,2013,78,19.9,-58.1,49,26.74,-22.26,63.5,23.32,-40.18
Watchmen,2009,76,9.53,-66.47,56,36.15,-19.85,66.0,22.84,-43.16
Detachment,2011,77,14.69,-62.31,52,30.72,-21.28,64.5,22.7,-41.8
Predator,1987,78,20.51,-57.49,45,24.21,-20.79,61.5,22.36,-39.14
Enemy at the Gates,2001,76,10.37,-65.63,53,33.38,-19.62,64.5,21.88,-42.62
Lost Highway,1997,76,10.23,-65.77,52,32.88,-19.12,64.0,21.55,-42.45
The Boondock Saints,1999,78,20.85,-57.15,44,21.75,-22.25,61.0,21.3,-39.7
Blow,2001,76,10.43,-65.57,52,32.15,-19.85,64.0,21.29,-42.71
Dead Man's Shoes,2004,76,10.23,-65.77,52,31.73,-20.27,64.0,20.98,-43.02
The Blind Side,2009,76,9.58,-66.42,53,32.22,-20.78,64.5,20.9,-43.6
Primal Fear,1996,77,15.51,-61.49,47,26.28,-20.72,62.0,20.89,-41.11
300,2006,76,9.9,-66.1,52,31.22,-20.78,64.0,20.56,-43.44
Man on Fire,2004,77,15.54,-61.46,47,25.04,-21.96,62.0,20.29,-41.71
Kelly's Heroes,1970,76,9.31,-66.69,50,30.3,-19.7,63.0,19.8,-43.2
Sleepers,1996,76,10.15,-65.85,49,28.97,-20.03,62.5,19.56,-42.94
Tropa de Elite,2007,80,30.85,-49.15,33,6.18,-26.82,56.5,18.52,-37.98
Flipped,2010,77,14.74,-62.26,45,21.67,-23.33,61.0,18.21,-42.79
Saw,2004,76,10.17,-65.83,46,23.66,-22.34,61.0,16.91,-44.09
Jeux d'enfants,2003,76,10.19,-65.81,45,22.55,-22.45,60.5,16.37,-44.13
Kai po che!,2013,77,14.64,-62.36,40,15.0,-25.0,58.5,14.82,-43.68
Fear and Loathing in Las Vegas,1998,76,10.25,-65.75,41,17.84,-23.16,58.5,14.04,-44.46
Seven Pounds,2008,76,9.59,-66.41,36,10.05,-25.95,56.0,9.82,-46.18
I Am Sam,2001,77,15.57,-61.43,28,0.0,-28.0,52.5,7.79,-44.71
Bronenosets Potemkin,1925,80,2.2,-77.8,97,13.21,-83.79,88.5,7.71,-80.79
The Butterfly Effect,2004,76,10.13,-65.87,30,2.4,-27.6,53.0,6.27,-46.73
